Sno,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1617,-,-,254,6,517
1618,-,-,38,1,41
1619,-,-,303,8,726
1620,-,-,27,3,115
1621,-,-,324,28,659
1622,-,-,462,4,500
1623,-,-,17,0,41
1624,-,-,1000,176,3049
1625,-,-,2465,583,14541
1626,-,-,2,0,2
1627,-,-,10,1,12
1628,-,-,0,0,1
1629,-,-,60,1,170
1630,-,-,6,0,9
1631,-,-,128,23,1233
1632,-,-,1394,77,3061
1633,-,-,1409,31,3550
1634,-,-,585,29,1085
1635,-,-,2,0,29
1636,-,-,39,1,60
1637,-,-,944,53,2859
1638,-,-,218,133,1259
1639,-,-,32,0,33
1640,-,-,589,36,1717
1641,-,-,1,0,1
1642,-,-,32,1,43
1643,-,-,142,4,536
1644,-,-,21,1,111
1645,-,-,36,0,59
1646,-,-,0,0,1
1647,-,-,1468,64,5104
1648,-,-,7,0,7
1649,-,-,1381,368,6245
1650,-,-,256,6,548
1651,-,-,38,2,42
1652,-,-,320,8,741
1653,-,-,33,3,125
1654,-,-,331,29,671
1655,-,-,462,4,502
1656,-,-,17,0,41
1657,-,-,1000,176,3049
1658,-,-,2819,617,15525
1659,-,-,2,0,2
1660,-,-,10,1,12
1661,-,-,0,0,1
1662,-,-,60,1,175
1663,-,-,6,0,9
1664,-,-,133,25,1451
1665,-,-,1525,89,3158
1666,-,-,1485,33,4058
1667,-,-,585,29,1096
1668,-,-,2,0,43
1669,-,-,39,1,61
1670,-,-,987,56,2880
1671,-,-,364,140,1344
1672,-,-,32,0,33
1673,-,-,729,36,1777
1674,-,-,1,0,1
1675,-,-,32,1,45
1676,-,-,188,4,542
1677,-,-,21,1,120
1678,-,-,36,0,59
1679,-,-,0,0,1
1680,-,-,1542,65,5532
1681,-,-,7,0,7
1682,-,-,1500,396,6625
1683,-,-,260,7,594
1684,-,-,38,2,45
1685,-,-,322,8,775
1686,-,-,37,3,127
1687,-,-,354,29,693
1688,-,-,469,4,503
1689,-,-,17,0,41
1690,-,-,1099,185,3138
1691,-,-,3094,651,16758
1692,-,-,2,0,2
1693,-,-,10,1,12
1694,-,-,0,0,1
1695,-,-,61,2,185
1696,-,-,6,0,9
1697,-,-,135,27,1516
1698,-,-,1596,92,3317
1699,-,-,1516,35,4829
1700,-,-,628,29,1107
1701,-,-,2,0,43
1702,-,-,39,1,61
1703,-,-,1130,60,2998
1704,-,-,364,144,1456
1705,-,-,33,0,33
1706,-,-,780,38,1847
1707,-,-,1,0,1
1708,-,-,34,1,54
1709,-,-,246,5,550
1710,-,-,21,1,135
1711,-,-,38,0,59
1712,-,-,0,0,1
1713,-,-,1931,66,5980
1714,-,-,7,0,7
1715,-,-,1709,425,7012
1716,-,-,260,7,625
1717,-,-,38,2,46
1718,-,-,335,9,793
1719,-,-,41,3,132
1720,-,-,366,30,705
1721,-,-,474,4,503
1722,-,-,17,0,42
1723,-,-,1231,193,3252
1724,-,-,3301,694,17974
1725,-,-,2,0,2
1726,-,-,10,1,12
1727,-,-,0,0,1
1728,-,-,62,2,219
1729,-,-,6,0,9
1730,-,-,149,28,1644
1731,-,-,1596,97,3427
1732,-,-,1547,37,5409
1733,-,-,650,29,1123
1734,-,-,2,0,65
1735,-,-,39,1,61
1736,-,-,1250,62,3071
1737,-,-,364,151,1548
1738,-,-,33,0,33
1739,-,-,842,41,1887
1740,-,-,1,0,1
1741,-,-,34,1,59
1742,-,-,297,5,571
1743,-,-,21,1,150
1744,-,-,38,0,59
1745,-,-,0,0,1
1746,-,-,2020,68,6318
1747,-,-,7,0,7
1748,-,-,1872,449,7402
1749,-,-,279,8,647
1750,-,-,38,2,50
1751,-,-,364,9,823
1752,-,-,52,3,132
1753,-,-,376,30,753
1754,-,-,484,4,503
1755,-,-,17,0,42
1756,-,-,1349,200,3341
1757,-,-,3470,731,19063
1758,-,-,2,0,2
1759,-,-,10,1,12
1760,-,-,0,0,1
1761,-,-,63,2,271
1762,-,-,6,0,9
1763,-,-,152,29,1731
1764,-,-,1916,101,3579
1765,-,-,1605,40,6009
1766,-,-,700,29,1133
1767,-,-,2,0,118
1768,-,-,46,1,63
1769,-,-,1387,66,3214
1770,-,-,364,160,1678
1771,-,-,33,0,33
1772,-,-,887,44,1930
1773,-,-,1,0,1
1774,-,-,34,2,63
1775,-,-,322,5,591
1776,-,-,24,2,169
1777,-,-,43,0,59
1778,-,-,0,0,1
1779,-,-,2020,73,6542
1780,-,-,7,0,7
1781,-,-,2091,472,7796
1782,-,-,290,9,675
1783,-,-,38,2,50
1784,-,-,368,9,836
1785,-,-,78,3,156
1786,-,-,386,30,794
1787,-,-,485,4,505
1788,-,-,17,0,42
1789,-,-,1676,215,3614
1790,-,-,3800,779,20228
1791,-,-,2,0,2
1792,-,-,10,1,13
1793,-,-,1,0,1
1794,-,-,63,2,294
1795,-,-,6,0,9
1796,-,-,157,31,1762
1797,-,-,2026,106,3708
1798,-,-,1824,44,6535
1799,-,-,750,30,1163
1800,-,-,2,0,134
1801,-,-,46,1,67
1802,-,-,1499,74,3373
1803,-,-,372,171,1786
1804,-,-,33,0,33
1805,-,-,925,45,1980
1806,-,-,1,0,1
1807,-,-,34,2,63
1808,-,-,365,6,696
1809,-,-,24,2,169
1810,-,-,49,0,59
1811,-,-,0,0,1
1812,-,-,2069,73,6923
1813,-,-,7,0,7
1814,-,-,2545,493,8194
1815,-,-,300,10,703
1816,-,-,39,2,55
1817,-,-,383,9,861
1818,-,-,78,3,157
1819,-,-,424,31,848
1820,-,-,489,4,512
1821,-,-,21,0,42
1822,-,-,1676,215,3614
1823,-,-,4199,832,22171
1824,-,-,2,0,2
1825,-,-,10,1,13
1826,-,-,1,0,1
1827,-,-,68,3,377
1828,-,-,6,0,9
1829,-,-,166,31,1823
1830,-,-,2176,107,3814
1831,-,-,1959,47,7204
1832,-,-,750,30,1196
1833,-,-,2,0,150
1834,-,-,46,1,68
1835,-,-,1653,74,3467
1836,-,-,417,185,1939
1837,-,-,33,0,33
1838,-,-,975,45,2018
1839,-,-,1,0,1
1840,-,-,34,2,65
1841,-,-,377,6,747
1842,-,-,24,2,174
1843,-,-,53,0,59
1844,-,-,0,0,1
1845,-,-,2129,73,7233
1846,-,-,7,0,7
1847,-,-,2780,513,8541
1848,-,-,337,11,730
1849,-,-,39,2,59
1850,-,-,427,10,879
1851,-,-,78,3,160
1852,-,-,426,31,862
1853,-,-,489,4,519
1854,-,-,21,0,42
1855,-,-,1747,221,3785
1856,-,-,4786,868,23401
1857,-,-,2,0,2
1858,-,-,10,1,13
1859,-,-,1,0,1
1860,-,-,85,3,414
1861,-,-,6,0,12
1862,-,-,168,31,1877
1863,-,-,2264,113,3988
1864,-,-,2051,53,8002
1865,-,-,800,30,1275
1866,-,-,2,0,152
1867,-,-,46,1,68
1868,-,-,1758,80,3573
1869,-,-,499,190,2063
1870,-,-,33,0,33
1871,-,-,1056,46,2090
1872,-,-,1,0,1
1873,-,-,39,2,65
1874,-,-,383,6,831
1875,-,-,28,3,187
1876,-,-,54,0,59
1877,-,-,0,0,1
1878,-,-,2512,86,7639
1879,-,-,7,0,7
1880,-,-,3246,537,8903
1881,-,-,342,11,780
1882,-,-,39,2,65
1883,-,-,455,10,934
1884,-,-,79,3,172
1885,-,-,433,31,925
1886,-,-,489,4,524
1887,-,-,21,0,42
1888,-,-,1860,225,3986
1889,-,-,5125,921,24427
1890,-,-,2,0,2
1891,-,-,10,1,13
1892,-,-,1,0,1
1893,-,-,116,3,437
1894,-,-,9,1,13
1895,-,-,171,32,1914
1896,-,-,2378,117,4126
1897,-,-,2134,61,8718
1898,-,-,830,32,1326
1899,-,-,2,0,154
1900,-,-,46,1,69
1901,-,-,1873,82,3664
1902,-,-,612,198,2173
1903,-,-,33,0,33
1904,-,-,1142,47,2137
1905,-,-,1,0,1
1906,-,-,39,2,80
1907,-,-,388,7,940
1908,-,-,28,3,187
1909,-,-,55,0,59
1910,-,-,0,0,1
1911,-,-,2858,106,7998
1912,-,-,7,0,7
1913,-,-,3562,566,9267
1914,-,-,418,11,793
1915,-,-,39,2,66
1916,-,-,466,11,971
1917,-,-,79,3,173
1918,-,-,451,33,959
1919,-,-,490,4,534
1920,-,-,22,0,43
1921,-,-,2004,232,4173
1922,-,-,5547,975,25922
1923,-,-,2,0,2
1924,-,-,10,1,13
1925,-,-,1,0,1
1926,-,-,143,3,538
1927,-,-,9,1,13
1928,-,-,200,32,1924
1929,-,-,2459,121,4328
1930,-,-,2176,64,9227
1931,-,-,940,34,1367
1932,-,-,16,0,155
1933,-,-,46,1,72
1934,-,-,1902,83,3729
1935,-,-,702,207,2290
1936,-,-,33,0,33
1937,-,-,1192,48,2205
1938,-,-,1,0,1
1939,-,-,39,2,87
1940,-,-,411,7,994
1941,-,-,37,3,191
1942,-,-,56,0,60
1943,-,-,0,0,1
1944,-,-,3045,115,8470
1945,-,-,7,0,14
1946,-,-,3753,586,9591
1947,-,-,439,11,818
1948,-,-,39,2,74
1949,-,-,485,11,983
1950,-,-,87,3,197
1951,-,-,460,35,987
1952,-,-,491,4,560
1953,-,-,22,0,43
1954,-,-,2171,237,4426
1955,-,-,6059,1019,27524
1956,-,-,2,0,3
1957,-,-,11,1,13
1958,-,-,1,0,1
1959,-,-,158,3,611
1960,-,-,9,1,13
1961,-,-,223,32,1935
1962,-,-,2580,125,4534
1963,-,-,2240,66,9674
1964,-,-,950,34,1414
1965,-,-,29,0,156
1966,-,-,50,1,78
1967,-,-,2072,88,3902
1968,-,-,768,215,2377
1969,-,-,33,0,33
1970,-,-,1252,48,2307
1971,-,-,1,0,1
1972,-,-,41,2,90
1973,-,-,438,7,1018
1974,-,-,37,3,191
1975,-,-,56,0,66
1976,-,-,0,0,1
1977,-,-,3518,123,8895
1978,-,-,7,0,15
1979,-,-,4035,606,9931
1980,-,-,439,11,818
1981,-,-,39,3,76
1982,-,-,513,11,1013
1983,-,-,87,3,203
1984,-,-,480,36,1056
1985,-,-,492,4,576
1986,-,-,22,0,43
1987,-,-,2283,239,4595
1988,-,-,6564,1068,29100
1989,-,-,2,0,3
1990,-,-,11,1,13
1991,-,-,1,0,1
1992,-,-,166,3,672
1993,-,-,9,1,13
1994,-,-,305,32,1935
1995,-,-,2677,125,4727
1996,-,-,2599,71,10108
1997,-,-,959,34,1454
1998,-,-,42,0,156
1999,-,-,51,1,82
2000,-,-,2165,95,4057
2001,-,-,829,225,2461
2002,-,-,33,0,33
2003,-,-,1353,49,2355
2004,-,-,1,0,1
2005,-,-,41,2,92
2006,-,-,453,7,1179
2007,-,-,51,3,191
2008,-,-,56,0,67
2009,-,-,0,0,1
2010,-,-,3926,129,9333
2011,-,-,7,0,17
2012,-,-,4308,625,10988
2013,-,-,514,13,887
2014,-,-,43,3,78
2015,-,-,542,12,1121
2016,-,-,113,3,217
2017,-,-,496,36,1092
2018,-,-,495,4,587
2019,-,-,22,0,43
2020,-,-,2315,243,4789
2021,-,-,7088,1135,30706
2022,-,-,2,0,7
2023,-,-,11,1,13
2024,-,-,1,0,1
2025,-,-,196,3,737
2026,-,-,9,1,13
2027,-,-,1257,32,1946
2028,-,-,2839,126,4960
2029,-,-,3538,74,10585
2030,-,-,971,34,1509
2031,-,-,64,0,167
2032,-,-,51,1,88
2033,-,-,2441,104,4258
2034,-,-,872,232,2576
2035,-,-,33,0,33
2036,-,-,1456,50,2407
2037,-,-,1,0,1
2038,-,-,41,2,101
2039,-,-,475,8,1262
2040,-,-,51,3,191
2041,-,-,59,0,86
2042,-,-,0,0,1
2043,-,-,4485,160,10054
2044,-,-,7,0,29
2045,-,-,4499,659,11379
2046,-,-,562,14,910
2047,-,-,44,3,80
2048,-,-,575,13,1183
2049,-,-,113,3,223
2050,-,-,509,37,1147
2051,-,-,497,4,601
2052,-,-,24,0,43
2053,-,-,2403,248,4977
2054,-,-,7688,1198,33053
2055,-,-,2,0,7
2056,-,-,11,1,13
2057,-,-,1,0,1
2058,-,-,220,4,828
2059,-,-,9,1,13
2060,-,-,1366,35,1964
2061,-,-,2992,131,5202
2062,-,-,4172,78,11224
2063,-,-,992,34,1551
2064,-,-,85,0,167
2065,-,-,52,1,92
2066,-,-,2441,104,4259
2067,-,-,959,238,2677
2068,-,-,33,0,33
2069,-,-,1552,50,2474
2070,-,-,1,0,1
2071,-,-,41,2,107
2072,-,-,494,9,1391
2073,-,-,54,3,196
2074,-,-,59,0,93
2075,-,-,0,0,1
